"","Kingdom","Phylum","Class","Order","Family","Genus","Prevalence (%)","Coefficient of Variation"
"ASV000001","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.984581497797357,0.889253468508844
"ASV000002","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.634361233480176,1.48559610875881
"ASV000003","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0.950440528634361,1.66499954482263
"ASV000004","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.94273127753304,0.948309352835122
"ASV000005","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Unclassified","Unclassified",0.998898678414097,0.868573111700719
"ASV000006","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enteroscipio",1,1.10164466790373
"ASV000007","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.950440528634361,1.0335384743603
"ASV000008","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Unclassified",0.992290748898678,1.27223687374948
"ASV000009","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified",0.998898678414097,0.967360721696141
"ASV000010","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.958149779735683,1.42812278213658
"ASV000011","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.893171806167401,1.28750681226966
"ASV000012","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.357929515418502,2.51280634946118
"ASV000013","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.970264317180617,1.12276417856013
"ASV000014","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.998898678414097,1.02823009734068
"ASV000015","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Unclassified",0.981277533039648,1.1844504354661
"ASV000016","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Unclassified",0.98568281938326,1.10979507792698
"ASV000017","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified",0.997797356828194,0.856465103014898
"ASV000018","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Shuttleworthia",0.973568281938326,1.31901126488735
"ASV000019","Bacteria","Firmicutes","Clostridia","Oscillospirales","Unclassified","Oscillospirales_ge",0.982378854625551,1.47962379277192
"ASV000020","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.727973568281938,1.50854444893367
"ASV000021","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",0.987885462555066,1.02723457072533
"ASV000022","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.948237885462555,1.02781966244916
"ASV000023","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enteroscipio",0.610132158590308,1.43696455083839
"ASV000024","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.774229074889868,1.82026426255357
"ASV000025","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.943832599118943,1.81683931168155
"ASV000026","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","Uncultured","Uncultured",0.933920704845815,1.33765363164265
"ASV000027","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",0.996696035242291,0.879953784757703
"ASV000028","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Clostridia UCG-014","Clostridia UCG-014",0.892070484581498,1.58183829257468
"ASV000029","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.477973568281938,2.17922948246545
"ASV000030","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",0.433920704845815,2.77637158340223
